,Date, Open, High, Low, Close
456,03/09/18,985.39,999.36,999.36,999.36
457,03/08/18,978.05,984.97,984.97,984.97
458,03/07/18,973.25,978.37,978.37,978.37
459,03/06/18,974.81,973.54,973.54,973.54
460,03/05/18,966.32,974.75,974.75,974.75
461,03/02/18,956.72,966.5,966.5,966.5
462,03/01/18,971.83,956.83,956.83,956.83
463,02/28/18,988.0,971.88,971.88,971.88
464,02/27/18,998.06,988.06,988.06,988.06
465,02/26/18,985.52,998.11,998.11,998.11
466,02/23/18,971.03,986.16,986.16,986.16
467,02/22/18,972.35,970.81,970.81,970.81
468,02/21/18,976.59,972.27,972.27,972.27
469,02/20/18,987.16,976.63,976.63,976.63
470,02/16/18,980.35,987.19,987.19,987.19
471,02/15/18,969.25,980.37,980.37,980.37
472,02/14/18,958.14,969.16,969.16,969.16
473,02/13/18,958.04,958.75,958.75,958.75
474,02/12/18,949.25,958.25,958.25,958.25
475,02/09/18,935.72,949.09,949.09,949.09
476,02/08/18,970.2,935.46,935.46,935.46
477,02/07/18,970.75,970.02,970.02,970.03
478,02/06/18,959.77,970.79,970.79,970.79
479,02/05/18,1005.66,959.93,959.93,959.93
480,02/02/18,1019.34,1005.73,1005.73,1005.72
481,02/01/18,1019.01,1019.42,1019.42,1019.42
482,01/31/18,1034.05,1019.08,1019.08,1019.08
483,01/30/18,1056.26,1034.03,1034.03,1034.03
484,01/29/18,1059.3,1056.49,1056.49,1056.49
485,01/26/18,1036.86,1059.33,1059.33,1059.33
486,01/25/18,1027.77,1036.84,1036.84,1036.84
487,01/24/18,1024.66,1027.74,1027.74,1027.74
488,01/23/18,1029.98,1024.5,1024.5,1024.5
489,01/22/18,1023.13,1029.83,1029.83,1029.83
490,01/19/18,1019.18,1023.13,1023.13,1023.13
491,01/18/18,1018.93,1019.13,1019.13,1019.13
492,01/17/18,1009.05,1018.96,1018.96,1018.96
493,01/16/18,1004.48,1009.03,1009.03,1009.03
494,01/12/18,996.99,1004.45,1004.45,1004.45
495,01/11/18,992.55,996.94,996.94,996.94
496,01/10/18,994.22,993.05,993.05,993.05
497,01/09/18,983.52,994.31,994.31,994.31
498,01/08/18,987.25,983.52,983.52,983.52
499,01/05/18,978.51,987.31,987.31,987.31
500,01/04/18,977.32,978.47,978.47,978.47
501,01/03/18,968.27,977.53,977.53,977.53
502,01/02/18,956.42,968.1,968.1,968.1
503,12/29/17,963.3,956.32,956.32,956.32
504,12/28/17,962.22,963.33,963.33,963.33
505,12/27/17,960.68,962.49,962.49,962.49
506,12/26/17,960.16,960.68,960.68,960.68
507,12/22/17,963.25,960.14,960.14,960.14
508,12/21/17,965.78,963.27,963.27,963.27
509,12/20/17,968.49,965.74,965.74,965.74
510,12/19/17,969.56,968.48,968.48,968.48
511,12/18/17,969.67,969.55,969.55,969.55
512,12/15/17,958.52,969.66,969.66,969.66
513,12/14/17,968.08,958.49,958.49,958.49
514,12/13/17,965.66,968.69,968.69,968.69
515,12/12/17,961.89,965.75,965.75,965.75
516,12/11/17,957.88,961.9,961.9,961.9
517,12/08/17,947.41,957.88,957.88,957.88
